Codigo Municipio,Nombre Municipio,Codigo Departamento,Codigo pais
05001,MEDELLÍN,05,CO
05002,ABEJORRAL,05,CO
05004,ABRIAQUÍ,05,CO
05021,ALEJANDRÍA,05,CO
05030,AMAGÁ,05,CO
05031,AMALFI,05,CO
05034,ANDES,05,CO
05036,ANGELÓPOLIS,05,CO
05038,ANGOSTURA,05,CO
05040,ANORÍ,05,CO
05042,SANTA FÉ DE ANTIOQUIA,05,CO
05044,ANZÁ,05,CO
05045,APARTADÓ,05,CO
05051,ARBOLETES,05,CO
05055,ARGELIA,05,CO
05059,ARMENIA,05,CO
05079,BARBOSA,05,CO
05086,BELMIRA,05,CO
05088,BELLO,05,CO
05091,BETANIA,05,CO
05093,BETULIA,05,CO
05101,CIUDAD BOLÍVAR,05,CO
05107,BRICEÑO,05,CO
05113,BURITICÁ,05,CO
05120,CÁCERES,05,CO
05125,CAICEDO,05,CO
05129,CALDAS,05,CO
05134,CAMPAMENTO,05,CO
05138,CAÑASGORDAS,05,CO
05142,CARACOLÍ,05,CO
05145,CARAMANTA,05,CO
05147,CAREPA,05,CO
05148,EL CARMEN DE VIBORAL,05,CO
05150,CAROLINA,05,CO
05154,CAUCASIA,05,CO
05172,CHIGORODÓ,05,CO
05190,CISNEROS,05,CO
05197,COCORNÁ,05,CO
05206,CONCEPCIÓN,05,CO
05209,CONCORDIA,05,CO
05212,COPACABANA,05,CO
05234,DABEIBA,05,CO
05237,DONMATÍAS,05,CO
05240,EBÉJICO,05,CO
05250,EL BAGRE,05,CO
05264,ENTRERRÍOS,05,CO
05266,ENVIGADO,05,CO
05282,FREDONIA,05,CO
05284,FRONTINO,05,CO
05306,GIRALDO,05,CO
05308,GIRARDOTA,05,CO
05310,GÓMEZ PLATA,05,CO
05313,GRANADA,05,CO
05315,GUADALUPE,05,CO
05318,GUARNE,05,CO
05321,GUATAPÉ,05,CO
05347,HELICONIA,05,CO
05353,HISPANIA,05,CO
05360,ITAGÜÍ,05,CO
05361,ITUANGO,05,CO
05364,JARDÍN,05,CO
05368,JERICÓ,05,CO
